Label,Line_0_1,Line_1_2,Line_2_3,Line_3_4,Line_0_5,Line_5_6,Line_6_7,Line_7_8,Line_0_9,Line_9_10,Line_10_11,Line_11_12,Line_0_13,Line_13_14,Line_14_15,Line_15_16,Line_0_17,Line_17_18,Line_18_19,Line_19_20
B,133.45,150.49,169.65,175.94,160.96,165.86,168.33,170.19,172.65,174.23,175.27,175.86,175.99,177.74,178.55,179.16,162.97,167.61,170.16,171.8
A,108.15,126.37,136.79,147.42,152.88,160.19,153.81,149.7,165.86,170.69,164.14,161.26,179.73,178.2,178.07,175.34,163.44,165.7,165.92,166.84
B,125.0,141.85,159.72,173.4,154.73,160.56,163.64,165.82,167.0,169.79,171.1,171.6,178.62,178.27,177.59,176.72,168.27,171.98,174.45,176.48
A,115.85,129.15,138.89,150.52,154.73,157.9,150.83,150.74,168.4,168.82,161.39,163.56,176.35,178.42,176.44,177.79,159.29,165.69,167.46,164.88
A,112.38,127.43,140.27,150.73,153.09,157.49,150.93,149.53,166.25,168.25,160.89,160.86,179.25,179.16,177.26,177.12,161.82,166.63,166.61,165.12
B,129.03,147.91,167.48,178.05,158.11,163.13,165.92,168.13,170.36,171.84,172.85,173.58,177.82,179.46,179.66,179.21,164.7,169.25,171.61,173.11
A,120.31,133.11,143.33,154.05,158.23,163.06,156.11,154.49,170.95,172.98,165.4,166.23,174.58,174.86,180.0,179.81,157.75,162.3,164.11,162.68
A,121.79,134.53,144.69,155.8,159.64,163.23,156.61,155.47,172.81,173.42,166.22,167.32,172.39,174.29,179.33,178.64,155.15,161.68,163.59,161.72
B,129.96,150.52,170.43,174.18,159.5,164.91,167.51,169.42,171.4,173.44,174.52,175.07,177.06,178.07,178.73,179.34,164.19,168.12,170.38,171.95
B,128.78,149.89,168.94,177.12,161.4,166.09,168.44,170.27,173.51,174.68,175.33,175.68,175.1,176.44,177.35,178.1,162.18,166.2,168.84,170.68
B,124.0,143.35,163.16,178.56,159.35,164.96,167.95,170.08,171.14,173.67,174.89,175.46,177.92,178.15,178.79,179.38,165.53,168.77,170.7,171.99
B,125.44,149.81,170.45,174.49,162.24,166.87,169.26,171.14,174.47,175.32,175.93,176.27,174.17,176.06,177.05,177.75,161.62,166.13,168.57,170.23
A,113.72,129.35,142.82,153.43,154.64,160.97,155.19,152.0,167.5,171.76,165.59,162.23,178.32,176.31,178.84,178.07,161.75,164.61,163.43,163.21
B,129.55,148.54,168.53,176.36,159.78,165.03,167.77,169.75,171.33,173.32,174.34,174.81,177.69,178.23,178.82,179.35,165.14,168.06,170.12,171.48
B,129.78,148.4,168.87,175.28,157.71,162.96,165.86,168.03,169.83,171.39,172.67,173.4,178.73,179.91,179.49,179.13,165.84,170.08,172.48,174.08
A,105.15,122.54,136.36,146.33,148.96,155.2,147.95,145.83,161.58,165.51,156.38,156.21,175.68,177.5,170.88,170.64,166.8,170.01,172.46,171.49
B,129.18,150.58,169.88,175.72,162.71,166.56,168.57,170.15,174.05,174.8,175.19,175.23,175.22,176.91,177.94,178.79,163.06,167.07,169.6,171.44
B,128.27,149.33,168.64,176.76,162.43,166.27,168.21,169.78,173.65,174.24,174.82,175.19,175.97,177.78,178.7,179.33,163.93,168.31,170.68,172.2
A,110.16,124.14,136.87,146.64,147.31,153.99,148.88,144.74,159.77,163.89,158.28,155.24,173.58,175.2,172.02,169.64,169.54,173.38,174.19,174.45
A,112.27,128.73,140.06,150.38,153.41,158.29,151.48,150.48,166.52,168.48,160.29,161.52,178.92,179.45,174.61,175.66,161.47,166.9,168.8,166.22
B,131.86,152.02,170.88,175.35,157.53,163.35,166.05,167.96,169.62,171.89,172.99,173.57,178.58,179.52,179.76,179.1,165.35,169.1,171.57,173.32
A,109.83,123.2,135.35,147.51,153.01,159.21,152.0,149.76,166.15,169.41,162.15,162.03,179.41,178.29,176.77,175.2,163.05,166.46,168.12,167.87
A,105.91,119.63,132.76,142.66,143.71,150.6,145.81,140.65,156.47,160.99,155.89,151.01,170.12,172.31,169.22,165.44,173.43,176.39,177.07,177.96
B,127.68,146.6,166.85,176.8,155.29,161.55,164.75,166.93,167.54,170.48,171.99,172.6,179.21,179.32,179.0,178.35,167.92,170.88,172.89,174.53
B,129.87,149.58,170.04,173.5,159.21,163.52,165.72,167.42,170.67,171.83,172.58,172.9,178.29,179.68,179.34,178.56,165.92,170.05,172.49,174.01
B,129.04,149.95,169.84,175.08,161.05,165.56,167.69,169.29,172.65,173.81,174.4,174.65,176.46,177.94,178.87,179.55,164.24,168.28,170.7,172.25
A,116.16,129.63,139.29,150.23,154.25,158.82,151.96,150.62,168.13,169.72,162.5,163.07,176.39,177.36,178.03,177.9,159.14,164.54,165.49,163.66
B,128.74,150.25,170.74,174.09,160.18,165.59,168.17,170.14,172.8,174.49,175.34,175.88,175.22,176.32,177.18,177.85,162.04,166.05,168.66,170.46
